image_path,predicted_face_shape,hairstyle
data\curly\00cbad1ffe22d900018e5a2e7376daed4.jpg,Oblong,curly
data\curly\0160dfee18352aa9bf5c6e617de9e07b4.jpg,Oblong,curly
data\curly\03312ac556a7d003f7570657f80392c34.jpg,Oblong,curly
data\curly\0fd85bcde626a95e20489c83f292d8204.jpg,Oblong,curly
data\curly\1-curly-hair-with-bangs-CYFg6l_Ls4-.jpg,Oblong,curly
data\curly\106dfcf4abe76990b585b2fc2e3c9f884.jpg,Oblong,curly
data\curly\13-long-curly-haircut-BclM5gMly7s.jpg,Oblong,curly
data\curly\1431bae992a4a870c351bc4ffbcbd3ac.jpg,Oval,curly
data\curly\1a9dbe23a0d95f1c292625960e4509184.jpg,Oblong,curly
data\curly\1ead97140aa6a90385d5c9e6b7fef476.png,Oblong,curly
data\curly\20-amazing-hairstyles-for-curly-hair-for-girls.jpg,Square,curly
data\curly\26e527c40927d512f5c85118c43c69554.jpg,Oblong,curly
data\curly\271c1544d1ae724715b63a19835d5636.jpg,Oblong,curly
data\curly\2a6d1e3e1c692ca898e3d3a75fd5043b4.jpg,Oblong,curly
data\curly\3096789d68fcce2222e84f513be4adf04.jpg,Oblong,curly
data\curly\341ea26e6677b655f8447af56073204a4.jpg,Oblong,curly
data\curly\3ccurls-1622124264.png,Oblong,curly
data\curly\40f07442f2e1adb5888b4dec280791824.jpg,Oblong,curly
data\curly\5d6da4c89b006262ecfab1f48c5e197f (3).jpg,Round,curly
data\curly\5fa73670458d4f139532b6d26c2e3681.Culry-Hair-Dry-Cut.png,Oblong,curly
data\curly\61aPFVrm42L._SL1352_.jpg,Oblong,curly
data\curly\6ae1c0933c9f15526012f38cee1696284.jpg,Oblong,curly
data\curly\6d8acb0fe980774ea4e5631198587f45.png,Oval,curly
data\curly\769e8e23280cdb066660bdbc85722169.jpg,Oblong,curly
data\curly\7f5649a0c33a2b334f23221a52c16b9b.jpg,Oval,curly
data\curly\84011171.jpg,Oblong,curly
data\curly\8499155.jpg,Oblong,curly
data\curly\8674d5c0392c7ba194d3609dea0d9115 (3).jpg,Oblong,curly
data\curly\90146673.jpg,Heart,curly
data\curly\90ddc46b2d0fc908f90205bc54235783.jpg,Oblong,curly
data\curly\99dd012b20e25bb446a8afdca933dd74--long-curly-hair-naturally-curly-hair.jpg,Oblong,curly
data\curly\9acd1da3425e52c5c96782f41d19f1f2--daily-hairstyles-hairstyles-for-black-women.jpg,Oblong,curly
