image_path,gender,face_shape,hairstyle
dataset\men\Comma_bangs_0001.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0002.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0003.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0004.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0005.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0006.jpg,men,Round,Middle
dataset\men\Comma_bangs_0007.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0008.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0009.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0010.jpg,men,Heart,Middle
dataset\men\Comma_bangs_0011.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0012.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0013.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0014.jpg,men,Round,Middle
dataset\men\Comma_bangs_0015.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0016.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0017.jpg,men,Round,Middle
dataset\men\Comma_bangs_0018.jpg,men,Oblong,Comma_bangs
dataset\men\Comma_bangs_0019.jpg,men,Round,Middle
dataset\men\Comma_bangs_0020.jpg,men,Round,Middle
dataset\men\Comma_bangs_0021.jpg,men,Round,Middle
dataset\men\Comma_bangs_0022.jpg,men,Round,Middle
dataset\men\Comma_bangs_0023.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0024.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0025.jpg,men,Round,Middle
dataset\men\Comma_bangs_0026.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0027.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0028.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0029.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0030.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0031.jpg,men,Round,Middle
dataset\men\Comma_bangs_0032.jpg,men,Round,Middle
dataset\men\Comma_bangs_0033.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0034.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0035.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0036.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0037.jpg,men,Oval,Girls_short_hair
dataset\men\Comma_bangs_0038.jpg,men,Round,Middle
dataset\men\Comma_bangs_0039.jpg,men,Round,Middle
dataset\men\Comma_bangs_0040.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0041.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0042.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0043.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0044.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0045.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0046.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0047.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0048.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0049.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0050.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0051.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0052.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0053.jpg,men,Round,Textured_Cut
dataset\men\Comma_bangs_0054.jpg,men,Round,Middle
dataset\men\Comma_bangs_0055.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0056.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0057.jpg,men,Round,Middle
dataset\men\Comma_bangs_0058.jpg,men,Oval,Men's_short_hair
dataset\men\Comma_bangs_0059.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0060.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0061.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0062.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0063.jpg,men,Round,Middle
dataset\men\Comma_bangs_0064.jpg,men,Oblong,Middle
dataset\men\Comma_bangs_0065.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0066.jpg,men,Round,Middle
dataset\men\Comma_bangs_0067.jpg,men,Oblong,Comma_bangs
dataset\men\Comma_bangs_0068.jpg,men,Oval,Straight_layered_hair
dataset\men\Comma_bangs_0069.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0070.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0071.jpg,men,Heart,Middle
dataset\men\Comma_bangs_0072.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0073.jpg,men,Round,Middle
dataset\men\Comma_bangs_0074.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0075.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0076.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0077.jpg,men,Round,Middle
dataset\men\Comma_bangs_0078.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0079.jpg,men,Round,Middle
dataset\men\Comma_bangs_0080.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0081.jpg,men,Round,Middle
dataset\men\Comma_bangs_0082.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0083.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0084.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0085.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0086.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0087.jpg,men,Round,Middle
dataset\men\Comma_bangs_0088.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0089.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0090.jpg,men,Square,Men's_short_hair
dataset\men\Comma_bangs_0091.jpg,men,Oval,Girls_short_hair
dataset\men\Comma_bangs_0092.jpg,men,Round,Middle
dataset\men\Comma_bangs_0093.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0094.jpg,men,Round,Middle
dataset\men\Comma_bangs_0095.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0096.jpg,men,Oblong,Pomade
dataset\men\Comma_bangs_0097.jpg,men,Round,Middle
dataset\men\Comma_bangs_0098.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0099.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0100.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0101.jpg,men,Square,Pomade
dataset\men\Comma_bangs_0102.jpg,men,Round,Textured_Cut
dataset\men\Comma_bangs_0103.jpg,men,Round,Middle
dataset\men\Comma_bangs_0104.jpg,men,Oblong,Pomade
dataset\men\Comma_bangs_0105.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0106.jpg,men,Oblong,Middle
dataset\men\Comma_bangs_0107.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0108.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0109.jpg,men,Oblong,Middle
dataset\men\Comma_bangs_0110.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0111.jpg,men,Square,Middle
dataset\men\Comma_bangs_0112.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0113.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0114.jpg,men,Square,Men's_short_hair
dataset\men\Comma_bangs_0115.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0116.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0117.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0118.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0119.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0120.jpg,men,Oblong,Girls_short_hair
dataset\men\Comma_bangs_0121.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0122.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0123.jpg,men,Round,Middle
dataset\men\Comma_bangs_0124.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0125.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0126.jpg,men,Round,Middle
dataset\men\Comma_bangs_0127.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0128.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0129.jpg,men,Square,Pomade
dataset\men\Comma_bangs_0130.jpg,men,Round,Middle
dataset\men\Comma_bangs_0131.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0132.jpg,men,Round,Middle
dataset\men\Comma_bangs_0133.jpg,men,Round,Middle
dataset\men\Comma_bangs_0134.jpg,men,Round,Middle
dataset\men\Comma_bangs_0135.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0136.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0137.jpg,men,Round,Middle
dataset\men\Comma_bangs_0138.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0139.jpg,men,Oval,Middle
dataset\men\Comma_bangs_0140.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0141.jpg,men,Round,Middle
dataset\men\Comma_bangs_0142.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0143.jpg,men,Round,Middle
dataset\men\Comma_bangs_0144.jpg,men,Round,Middle
dataset\men\Comma_bangs_0145.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0146.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0147.jpg,men,Round,Middle
dataset\men\Comma_bangs_0148.jpg,men,Round,Girls_short_hair
